ID,sentence,label,language
15,"ਕਮਲਾ ਦਾਸ ਦੀ ਮੇਰੀ ਕਹਾਣੀ’ ਇੱਕ ਬਹੁਤ ਵਧੀਆ ਪੁਸਤਕ ਹੈ,ਪਰ ਬਿਰਤਾਂਤਕਾਰ ਦੀ ਨੀਰਸ ਪਿਚ ਇਸਨੂੰ ਹੌਲੀ ਅਤੇ ਇਕਸਾਰ ਬਣਾਉਂਦੀ ਹੈ।",Negative,pa
16,"ஒரு சிறந்த மெனுவுடன் தேர்வு செய்வதற்கான சூழல் அற்புதமானது. பீரின் சுவை உயிரை கொடுக்கலாம் என்ற அளவுக்கு இருப்பதுடன், வாகன நிறுத்தும் வசதியும் செய்யப்பட்டுள்ளது",Positive,ta
17,बेयो सावगारियाव जेरै गेदेर नुदों बिदि नङा आरो बेयो फिसा सैमानि थाखायलʼसो।,Negative,bd
18,आं सिगांनिख्रुइ आथिखालाव हवाटसएप बाहायनानैसो साबसिन मोनो मानोना जागायनायनिफ्राय जोबनायसिम बेयाव गासैबो रोखायै नुजायो। प्राइभेट जायगायाव थामथि हान्जा हाबफैनायनि गनायथि गैया।,Positive,bd
19,మల్టీ కోటింగ్ మరియు ఏ స్థితిలోనైనా ఫోటోగ్రఫీ కొరకు సమర్థవంతమైనది.,Positive,te
20,আশ্চৰ্যজনক কিন্তু 3.1 চেনেল স্পিকাৰৰ সৈতে আহে। 5*7 ইঞ্চিৰ সৰু স্পিকাৰ আৰু ডলবিৰ দৰে সমৰ্থনকাৰী ছফ্টৱেৰৰ অভাৱৰ বাবে ধ্বনি আউটপুট বেয়া।,Negative,as
21,"এই এয়ার কুলারে বাইরের বডির ডিজাইন অদ্ভুত। যদিও ট্যাঙ্কটি মাত্র 10 লিটারের। ক্ষমতা বাক্সটি প্রায় 3 ফুট জায়গা নেয়, যা একটি ব্যক্তিগত কুলারের জন্য অপ্রয়োজনীয়।",Negative,bn
22,"కొన్ని మంచి బ్యాండ్‌లు ప్లే చేయడం మరియు లైవ్ ప్రదర్శలు ఇవ్వడం వల్ల ఆంబియెన్స్ అద్భుతంగా ఉంటుంది, అలానే ఫుడ్ చాలా బాగుంటుంది. ఆల్కహాల్ కలెక్షన్ కూడా చాలా బాగుంటుంది.",Positive,te
23,बेड असेंबल करायला सोपा आणि अतिशय आरामदायक आहे. हा धुता येतो आणि जाळीदार कापडामुळे हवा खेळती राहायला मदत होते.,Positive,mr
24,بالٹرا کا ٹیبل فین گھریلو استعمال کے لیے ہلکا پھلکا پنکھا ہے۔ آپ اسے جہاں چاہیں سچ مچ زیادہ کوشش کے بغیر کہیں بھی لے جا سکتے ہیں۔,Positive,ur
25,ಸರ್ವರ್‌ಗಳ ವಿನಮ್ರ ಮತ್ತು ಉತ್ತಮ ನಡವಳಿಕೆಯನ್ನು ನೀಡಿದ ಉತ್ತಮ ಟೇಬಲ್ ಸೇವೆಯೊಂದಿಗೆ ಆಯ್ಕೆ ಮಾಡಲು ವ್ಯಾಪಕ ಶ್ರೇಣಿಯ ಸಸ್ಯಾಹಾರಿ ಮತ್ತು ಮಾಂಸಾಹಾರಿ ಖಾದ್ಯಗಳಿವೆ. ಆಹಾರವೂ ಕೈಗೆಟಕುವ ದರದಲ್ಲಿ ದೊರೆಯುತ್ತದೆ,Positive,kn
26,"""બટરફ્લાય"" પાર્કમાં હવે કોઈ પતંગિયા નથી. એન્ક્લોઝર તૂટી ગયું છે અથવા અસ્તિત્વમાં નથી અને તે હમણાં માત્ર એક ગંદો બગીચો છે.",Negative,gu
27,"याचे कंट्रोल्स पूर्णत: मॅन्युअल आहेत आणि त्यामुळे तुम्हाला एक्सपोजरविषयी शिकावेच लागते, जे तुमच्यासाठी त्रासदायक असू शकते.",Negative,mr
28,"મંગળ કરતાં પણ વધુ, તે રણ જેવો દેખાય છે.... દ્રશ્ય અસરો પર નબળું કામ",Negative,gu
29,"""రాష్ట్రంలోని విదర్భ మరియు మరాఠ్వాడా ప్రాంతాల్లో బాగా అనుసంధానించబడింది. దాదాపు అన్ని ప్రధాన పట్టణాలకు సేవలు అందిస్తుంది.""",Positive,te
30,"গঙ্গা নদীৰ মুখামুখিকৈ বহুতো কোঠা আছে, পৰিয়াল আৰু বন্ধুবৰ্গৰ সৈতে সপ্তাহান্তত বা সপ্তাহজোৰা অৱসৰ যাপনৰ চমৎকাৰ ঠাই, ছুইমিং পুলৰ সংযোজনে পৰিৱেশটো সামগ্ৰিকভাৱে শান্ত আৰু সৌম্য কৰি তোলে, নিজকে সতেজ আৰু পুনৰুজ্জীৱিত কৰাৰ বাবে উপযুক্ত, চহৰ-জীৱনৰ ব্যস্ততাৰ পৰা অলপ আঁতৰিবলৈ ভাল। সোণাৰ তৰীয়ে প্ৰদান কৰা থালিবোৰ সুস্বাদু আৰু সুন্দৰ আৰু টকাৰ সঠিক মূল্য পোৱা যায়; ৱাইফাই ভাল আৰু বাৰখনো ভাল আৰু আৰামদায়ক।",Positive,as
31,लहान मुलांसाठी निवडण्यासाठी रंगीबेरंगी आणि चांगल्या दर्जाच्या सुती शॉर्ट्सची भव्य रेंज आहे. माझ्या खरेदीबाबत मी अतिशय आनंदी आहे.,Positive,mr
32,"मुलांसाठी सर्वोत्कृष्ट!! यात बोधकथा आणि परीकथा, कविता आणि विविध कोड्यांचा समावेश आहे.",Positive,mr
33,ଏହାକୁ ନେବା ଏତେ ସହଜ ଏବଂ ପୋଷା ପଶୁମାନଙ୍କ ପାଇଁ ଦେଖିବା ପାଇଁ ଉପଯୁକ୍ତ ଛୋଟ କଟଆଉଟ୍ ଅଛି | ଏହା ମଜବୁତ ଏବଂ ସୁନ୍ଦର ଭାବରେ ବାୟୁ ଚଳାଚଳ କରେ l,Positive,or
34,"चॉकलेट एक्लेयर, केक (चॉकलेट प्रलीन केक, बेल्जियम चॉकलेट कप्पुचिनो टार्ट और कप्पुचिनो ट्रफल केक एक बार ट्राय करना चाहिए) और पेस्ट्री, और आइसक्रीम सैंडविच की नई रेंज कमाल की हैं। कूकी जार के कर्मचारी बहुत ही मिलनसार और पेशेवर हैं, साथ ही स्विगी के माध्यम से ऑनलाइन ऑर्डर भी दिए जा सकते हैं।",Positive,hi
35,તે BIS પ્રમાણિત છે અને સુરક્ષિત હોવાનો દાવો કરે છે.,Positive,gu
36,پورے ہندوستان میں ان کا ایک بڑا کسٹمر بیس ہے، بہت سستی ہے، اور وسیع آر اور ڈی (تحقیق اور ترقی) انجام دیتے ہیں۔ وہ ماحول دوست گاڑیوں کی پروڈکشن میں بھی مصروف ہیں اور دنیا بھر میں ان کی ترقی پذیر ڈیلرشپ ہے۔,Positive,ur
37,વૉઇસ-ઓવર ખૂબ જ સારો હતો અને વાર્તાની મર્યાદાને કારણે અનુસરવામાં સરળ અને આકર્ષક હતું.,Positive,gu
38,அசைவ உணவுகள் பல்வேறு உணவு வகைகளை தேர்வு செய்வது நல்லது,Positive,ta
39,यह पैट स्टाइल वेट डॉग फ़ूड में स्वस्थ मांसपेशियों के लिए असली चिकन से लेकर उच्च गुणवत्ता वाला प्रोटीन है। यह एक स्वादिष्ट ट्रीट है और उनके पसंदीदा ड्राई फूड्स में थोड़ा इंटरेस्ट डाल देती है और पेट खराब होने जैसी कोई समस्या नहीं होती।,Positive,hi
40,"बेकार कॉमेडी, बेकार डायरेक्शन। घटिया केमिस्ट्री, कोई कहानी ही नहीं है। पहले 15 मिनट देखें और फिर अंत के 15 मिनट के लिए वापस आएं, आप कुछ भी मिस नहीं करेंगे, इतना छोटा प्लॉट है!",Negative,hi
41,"ఒక చివరికి అర్థంలేని కథ, చనిపోయినట్లుగా ఇంకా తెలియని చనిపోయిన చేపలా ఇది ఫ్లాప్ అవుతుంది. ఈ సినిమా నిరాశాజనకంగా, మర్చిపోయేవిధంగా ఉంది.",Negative,te
42,സോപ്പ് വളരെ സ്വാഭാവികമായി ഈർപ്പം നൽകുന്നതാണ്. ഇത് ഉപയോഗിച്ച ശേഷം ഒരു ലോഷൻ ഉപയോഗിക്കണമെന്ന് എനിക്ക് തോന്നുന്നില്ല.,Positive,ml
43,ಮೈಕ್ ಜೊತೆಗೆ ಇಯರ್ ಇಯರ್‌ಬಡ್‌ಗಳಲ್ಲಿ ನಿಜವಾಗಿಯೂ ವೈರ್‌ಲೆಸ್ ಬ್ಲೂಟೂತ್,Positive,kn
44,"તેઓ પેટની સમસ્યાઓ, ઝાડા અને ઉલટીથી પીડાય છે",Negative,gu
45,பேடின் தரம் மிகவும் மலிவாக இருக்கிறது.,Negative,ta
46,"“निथिन’ नि फावा आंनि नोजोराव बियो जोबोद स्टाइलगोनां, गावनो गाव सोमजिनाय आरो कमेदि नुथाइफोरनि थाखाय जोबोद गोरोबफ्लेनाय। गाज्रि आखुनि मानसिजों मोगा मोगि जानाय नुथाइफ्रा जोबोद बाख्नायथाव आरो बेनो बिनि जिउनि साबसिन फाव खालामनाय होनना आं सानो।""",Positive,bd
47,"""ਬਹੁਤ ਸੁਰੱਖਿਅਤ ਕਿਉਂਕਿ ਕੰਪਨੀ ਦੁਆਰਾ ਡਰਾਈਵਰਾਂ ਦੀ ਜਾਂਚ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।""",Positive,pa
48,"উৎকৃষ্ট গুণমানৰ ধ্বনি। আমি ইয়াত বৰ্ণনাৰ সামান্যতম শব্দও শুনিব পাৰো, এনেদৰে ই সুন্দৰ প্ৰভাৱ প্ৰদান কৰে কিয়নো নেপথ্যৰ শব্দবোৰো স্পষ্টভাৱে শুনা যায়।",Positive,as
49,پلیٹ فارم اور کوچ ہمیشہ صاف رہتے ہیں۔,Positive,ur
50,"ବୋଟ୍‌ ହୋମ ଥିଏଟର ସିଷ୍ଟମ ହେଉଛି ସ୍ପିକରର ଏକ ସ୍ୱଦେଶୀ ବ୍ରାଣ୍ଡ | ତେଣୁ ଏଥିରେ ଡଲବି ଆଉଟପୁଟ୍ ନାହିଁ, ଯାହା ଆଜିର ଧାରାକୁ ବିରୋଧ କରେ |",Negative,or
51,हेमारनि साउन्दबाराव थाफानाय बे जथाइ कन्ट्रला बांद्राय मोजां नङा। बेयो गुबुन गुबुन मदाव बारस्लायनो हाया आरो बेखौ दबथायनायनि सोलायै खोनासंथावै साउन्द दिहुननानै थादʼयो।,Negative,bd
52,याने शेव्ह करणे खूप सोपे आहे. केस सहज आणि कोणत्याही अडचणीशिवाय बाहेर येतात. हे निर्दोषपणे कार्य करते.,Positive,mr
53,ଏହା ସେମିତି କୌଣସି କେଶ ଉପାଡ଼ି ଦିଏ ନାହିଁ l ବ୍ରଶ୍ ପିନଗୁଡିକର ଲମ୍ବ ବହୁତ ଛୋଟ ଏବଂ ଚର୍ମ ଭିତରକୁ ଯାଇପାରିବ ନାହିଁ |,Negative,or
54,ಯಂತ್ರ ಬೆಚ್ಚಗಾಗುತ್ತದೆ.,Negative,kn
55,"డబుల్ వాల్డ్ అలాయ్ వీల్స్, దృఢమైన మరియు బహుముఖ ఫ్రేమ్‌ ఉంటుంది.",Positive,te
56,ಆಗಾಗ್ಗೆ ಯಾವುದೇ ಸ್ಪಷ್ಟ ನಿರ್ದೇಶನವಿಲ್ಲ. ವಸ್ತುಗಳು ಯಾವಾಗಲೂ ನಿಯಂತ್ರಣದಲ್ಲಿರುವುದಿಲ್ಲ. ಆನ್‌ಲೈನ್ ಫೋರಮ್‌ಗಳು ಗುಣಮಟ್ಟವನ್ನು ಹೊಂದಿರುವುದಿಲ್ಲ.,Negative,kn
57,سی جی کے سیلنگ فین خوبصورت اور دلکش انداز کے ساتھ ڈیزائن کیے گئے ہیں۔ چھوٹے گھروں میں بھی وہ شان و شوکت اور نفاست کا احساس دلاتے ہیں۔,Positive,ur
58,কাছাকাছি কোনও খাবারের দোকান নেই। আপনাকে প্রায় 5 কিমি দূরে অবস্থিত আইন স্ট্রিটে এসে একটি খুঁজে বের করতে হবে।,Negative,bn
59,"""এসি চেয়ার কার এবং 3 টিয়ার এসি স্লিপারের থার্মোস্ট্যাটিক কন্ট্রোলগুলি ঘন ঘন পরীক্ষা করা প্রয়োজন কারণ অনেক বার তাপমাত্রা হয় খুব কম বা খুব বেশি...""",Negative,bn
60,"দ্য এন্ড অব দ্য অ্যাফেয়ার' একটি মাস্টারপিস এবং এখানে এটি খুব সুন্দরভাবে পড়ে শোনানো হয়েছে! কলিন ফার্থের কন্ঠস্বর এবং সুর চমৎকারভাবে শোক, ঘৃণা, বিষণ্ণতা এবং ভালবাসাকে তুলে ধরেছে।",Positive,bn
61,"'পুরোপুরি বাজে সিনেমা। তারা ভারতীয় সেনাবাহিনীকে খারাপ দৃষ্টিতে দেখিয়েছে এবং সিনেমাটিতে পুরুষ অভিনেতার মাধ্যমে জঙ্গিদের প্রতি সহানুভূতি দেখানো হয়েছে। """,Negative,bn
62,"સાઉન્ડ માસ્ટર મલ્ટિમીડિયા પ્લેયર હજુ પણ વાયર-કનેક્ટિંગ પ્લેયર છે, USB વિના. હું આવા અદ્યતન કનેક્ટિંગ સુવિધાઓના સમયમાં આટલા બધા વાયર વહન કરવાની કલ્પના કરી શકતો નથી.",Negative,gu
63,मैंने हाल ही में सोनोडायन का होम थिएटर सिस्टम खरीदा। जब मैं सब कुछ चेक कर रहा था तो मैं वॉयस कंट्रोल के बारे में भूल गया; अगर इसमें वॉयस कंट्रोल होता तो यह सबसे अच्छा स्पीकर होता।,Negative,hi
64,"আইকলের টাওয়ার স্পিকার ওয়াইফাই এর মাধ্যমে সংযুক্ত। তাই এলোমেলো তার, ব্যর্থ ব্লু টুথ, সার্চিং কেবল ইত্যাদির ঝামেলা নেই।",Positive,bn
65,"ଫ୍ରେମ୍ ଉପରେ ଅତ୍ୟନ୍ତ ସ୍ୱଳ୍ପ 1-5 ବର୍ଷର ୱାରେଣ୍ଟି, ସୀମିତ ରଙ୍ଗ ପସନ୍ଦ |",Negative,or
66,બુદ્ધિશાળી બેકિંગ-ટ્રેક ટેક્નોલોજીથી સજ્જ અને રોલેન્ડની શ્રેણીના સંગીતની લય સાથે સુસંગત.,Positive,gu
67,எனது 5 வயது குழந்தைக்கு சுவாரஸ்யமான கதைகளைக் கேட்பது பிடிக்கும். உங்கள் குழந்தையின் கற்பனை திறன் மற்றும் சொற்களஞ்சியத்தை மேம்படுத்த உதவுகிறது. கதைகளுக்கு வேடிக்கை சேர்க்க இது கவர்ச்சிகரமான ஓவியங்களைக் கொண்டுள்ளது.,Positive,ta
68,ஹோலி வாவ்! என்ன அற்புதமான படம்! உங்களுடைய சமூகம் சார்ந்த திறமைகளை மேம்படுத்த உதவும் நட்பு அல்லது வாழ்க்கையில் வெற்றி பெற உங்களுக்கு தேவையானது இரண்டில் ஒன்றை தேர்ந்தெடுப்பது பற்றி சொல்லப்பட்ட செய்தி எனக்கு மிகவும் பிடித்தது.,Positive,ta
69,त्वचा दिवसभर मॉईश्चराइज्ड ठेवते.,Positive,mr
70,स्पेशल इफेक्ट्सपेक्षा हा जास्त VR अनुभव वाटतो. स्पेशल इफेक्ट्स वापरून तुमच्या मेंदूला मूर्ख बनवले आहे.,Negative,mr
71,ഈ ആപ്പ് ഒന്നിലധികം ഉപയോക്താക്കളെ പിന്തുണയ്ക്കുന്നില്ല. രജിസ്റ്റർ ചെയ്ത ഒരു നമ്പറിന് മാത്രമേ ആക്‌സസ് ഉള്ളൂ അല്ലെങ്കിൽ ആക്‌സസ് ആഗ്രഹിക്കുന്ന ആർക്കും ഒരു സമയം ഒരു കാഴ്ചക്കാരൻ മാത്രമുള്ള പാരന്റ് ഹോൾഡറിൽ നിന്ന് OTP ആവശ്യപ്പെടേണ്ടതുണ്ട്.,Negative,ml
72,""" આ એક નૈતિક વાર્તાનું પુસ્તક છે જે તમને શીખવશે કે, આપણે નાની નાની બાબતોમાં પણ ખુશી શોધવામાં સક્ષમ છીએ.. આ વાંચીને કેટલું સારું લાગ્યું!! આ વાર્તા બાળપણના તે બધા દિવસોની યાદ અપાવે છે જ્યારે આપણે રમતા અને રસોડામાં કેટલીક રસપ્રદ વસ્તુઓ જાણવા, રસોઇ બનાવવા અને રસોડામાં જોખમ ઉભું કરવામાં વિતાવતા હતા. """,Positive,gu
73,آئی کال (iKall) کے ٹاور اسپیکر وائی فائی کے ذریعے مربوط ہوتے ہیں۔ لہذا پیچيدہ تاروں، ناکام بلوٹوتھ، کیبلز کی تلاش وغیرہ کی کوئی پریشانی نہیں ہے۔,Positive,ur
74,ਧੂੜ ਤੋਂ ਬਚਾਉਂਦਾ ਹੈ ਕਿਉਂਕਿ ਇਹ ਕੈਮਰੇ ਦੇ ਲੈਂਸ 'ਤੇ ਕੱਸ ਕੇ ਫਿੱਟ ਹੁੰਦਾ ਹੈ,Positive,pa
75,ક્રોમા હજુ પણ પરંપરાગત એલ્યુમિનિયમ કોઇલ સાથે એસીનું ઉત્પાદન કરે છે. આ કાટ માટે વધુ સંવેદનશીલ અને ઓછી ઉર્જા કાર્યક્ષમ છે.,Negative,gu
76,सर्वोत्तम शक्तिशाली क्लिपर आणि वापरण्यास अतिशय सोपे. याच्यासह सर्व साधने मिळतात. कात्रीदेखील उत्तम आहे.,Positive,mr
77,". মুভিটি যেভাবে শুরু হয়, তাঅবশ্যই প্রতিটি এমজে ভক্তকে গুজবাম্প দেবে। এটি আপনাকে মাইকেলের রোমাঞ্চকর ও অনুপ্রেরণাদায়ক যাত্রার সম্পর্কে অভিহিত করে।",Positive,bn
78,"સંગીત અદ્ભુત, બહુમુખી અને પ્રેરણાદાયક છે! પ્રીતમ તેની સાથે કેટલીક શ્રેષ્ઠ ધૂનનું મંથન કરે છે અને અમિતાભ ભટ્ટાચાર્યના ગીતો હૃદયસ્પર્શી છે.",Positive,gu
79,एरिया बहुत छोटा है और म्यूजिक भी ज्यादा अच्छा नहीं है और बहुत लाउड म्यूजिक है जो एक छोटे से क्षेत्र में कानों के लिए असुविधाजनक है। एंट्री फी (₹1000/- प्रति व्यक्ति) बहुत ज़्यादा है।,Negative,hi
80,ഫാനുകൾ ഇപ്പോൾ പൊടി-പ്രതിരോധശേഷിയുള്ള ആവരണം പൂശിയിരിക്കുന്നു. ബ്ലേഡുകളിൽ അടിഞ്ഞുകൂടുന്ന പൊടി വളരെ കുറവായതിനാൽ ഫാനുകൾ വൃത്തിയാക്കാൻ എളുപ്പമാണ്.,Positive,ml
81,"जिरायग्रा ननि सफा आरो टेबोल लोगोसेनो ओंखाम जाग्रा नमानि सैमा खोमोनजों (माथाम सैमा) बुंफबनाय मानोना सैमाफोरा जेब्लाबो आदारनि उन उन खारो; आरो जायगायाबो गुदु हाग्रा गेजेरावसो आरो नों गावनि थफ्ला थफ्लिखौ बैसिम आरो सिरि गाखोखांजासिम गावनो गाव लाबोनांगौ। आरो, खाजानि बेसेनाबो गोजाम मानालियाव थानाय गुबुन काफेफोरनिख्रुइ एसे बांसिन।",Negative,bd
82,"ਇਹ ਫਿਲਮ ਇੱਕ ਬੇਹਤਰੀਨ ਕਹਾਣੀ ਸੁਣਾਉਣ ਦਾ ਸਭ ਤੋਂ ਵਧੀਆ ਉਦਾਹਰਣ ਹੈ, ਪਰ ਇਹ ਸਭ ਨਕਾਰਾਤਮਕ ਅਰਥਾਂ ਵਿੱਚ ਕੀਤਾ ਗਿਆ ਹੈ। ਤੁਹਾਨੂੰ ਹਰ ਦ੍ਰਿਸ਼ ਨੂੰ ਸਮਝਣ ਲਈ ਸਮਾਂ ਕੱਢਣਾ ਹੋਵੇਗਾ!",Negative,pa
83,"మీరు బాగా ఆడితే మరియు హార్డ్ కోర్ స్మాషింగ్ చేయనట్లయితే ఇది పాడైపోకుండా సులభంగా 10 గేమ్‌ల వరకు ఉంటుంది. అదృష్టం మీవైపు ఉంటే, మీరు కేవలం ఒక షటిల్‌తో 3 గంటలపాటు సులభంగా ఆట ఆడవచ్చు. కొంచెం అరుగుదల మరియు క్షీణతను పట్టించుకోకపోతే 5 గంటల వరకు ఆడవచ్చు.",Positive,te
84,"এটিতে সমস্ত পুষ্টি রয়েছে, তাছাড়াও এটি অত্যন্ত সুস্বাদু এবং সহজে হজমযোগ্য। এটি একটি সুস্থ ইমিউন সিস্টেমকে সমর্থন করে। এটিতে সমস্ত প্রয়োজনীয় ভিটামিন, খনিজ এবং অ্যান্টিঅক্সিডেন্ট রয়েছে যা পোষা প্রাণীর স্বাস্থ্য এবং জীবনীশক্তি বাড়াতে সাহায্য করে।",Positive,bn
85,جب چھوٹے آلات جیسے مکسر، ٹی وی، پنکھے وغیرہ کی بات ہو تو یہ انورٹر کافی کارآمد ہے۔ یہ ہندوستانی برانڈ کے طور پر نایاب اور اچھا ہے۔,Positive,ur
86,"""അവരുടെ ക്യാച്ച്‌ഫ്രെയ്‌സിൽ നിന്ന് വ്യത്യസ്തമായി, ഈ കളർ പെൻസിലുകൾ കൂടുതൽ തെളിച്ചമുള്ളതും നിങ്ങളുടെ ജോലിക്ക് സുഖകരമല്ലാത്തതും മങ്ങിയതുമായ രൂപം നൽകുന്നു. ലെഡ് വളരെ ദുർബലമാണ്, അത് ചെറിയ മർദ്ദത്തിൽ തകരുന്നു.""",Negative,ml
87,मेरे बच्चे ने कुछ पन्नों के बाद ही किताब छोड़ दी। मजेदार बनाने के लिए कोई विशेष चित्रण नहीं डाले गए हैं। कहानियों में रंगीन चित्रों और चित्रणों की कमी के कारण पढ़ते हुए मुझे भी नींद आ रही थी।,Negative,hi
88,यह साइट आपको किसी भी पहले से डिज़ाइन किए गए थीम या टेम्पलेट्स प्रदान नहीं करती है। आपको अपनी क्रिएटिविटी का इस्तेमाल  करना होगा और एक स्क्रैच से सब कुछ बनाना होगा।,Negative,hi
89,ಪುಸ್ತಕ ಚೆನ್ನಾಗಿದೆ ಆದರೆ ಓದುಗರು ಈ ಹುಸಿ ಮಾತುಗಳನ್ನು ಅಕ್ಷರಗಳ ಸದ್ದು ಮಾಡುವುದನ್ನು ಬಿಡಬೇಕು. ಇದು ಭಯಾನಕವಾಗಿದೆ!  !,Negative,kn
90,"നിങ്ങൾ ഒരു ടിവി ഷോ പ്ലേ ചെയ്യാൻ ശ്രമിക്കുമ്പോഴെല്ലാം, അതിൽ ഒരുപാട് പരസ്യങ്ങളുണ്ട്, കൂടാതെ ""ക്ഷമിക്കണം എന്തോ കുഴപ്പം സംഭവിച്ചു"" എന്ന് വിളിക്കപ്പെടുന്ന ഒരു പിശക് പലപ്പോഴും കാണിക്കുന്നു. പശ്ചാത്തല കോഡിൽ പിശക് പരിഹരിക്കപ്പെട്ടിട്ടില്ലെങ്കിലും ഞാൻ ഇത് ഒന്നിലധികം തവണ റിപ്പോർട്ട് ചെയ്തു.",Negative,ml
91,জেনটেক্সৰ পেডেষ্টেল ফেনবোৰত কম দৈৰ্ঘ্যৰ অধিক ব্লেড দিয়া হয়। কম চুইপ আকাৰে সামগ্ৰীটোৰ কাৰ্যকাৰীতা হ্ৰাস কৰে।,Negative,as
92,गोलोमदै आरो दै नांनो हायै।,Positive,bd
93,"మీరు కేస్ ఓపెన్ చేసిన వెంటనే ఇది కనెక్ట్ అవుతుంది, టచ్ కంట్రోల్ స్మూత్‌గా ఉంటుంది.",Positive,te
94,କୌଣସି LCD ଡିସପ୍ଲେ ନାହିଁ ଏବଂ କ୍ଲିପର୍ ଏବଂ କଇଁଚି ଅଦରକାରୀ |,Negative,or
95,"ਵਿਜ਼ੂਅਲ ਇਫੈਕਟ ਸ਼ਾਨਦਾਰ ਹਨ , ਕੁਝ ਸੁੰਦਰ ਸ਼ਾਟ ਅਤੇ ਇਮਰਸਿਵ ਸਿਨੇਮੈਟੋਗ੍ਰਾਫੀ।",Positive,pa
